ID_ENTIDAD	GUID_ENTIDAD	RUC	RAZON_SOCIAL	NOMBRE_COMERCIAL	ID_ESTADO	BIT_ACTIVO
304	823EA343-C749-49C4-9B1C-CD4ED89021D7	21890841044	UNIVERSIDAD COMERCIAL 7998 SAC	UNIVERSIDAD COMERCIAL 7998	2	1
303	CB87EB04-4137-4688-8595-C0251CA0580F	50705469551	INDUSTRIA COMERCIAL 6952 SRL	INDUSTRIA COMERCIAL 6952	2	1
302	B99EB42C-DF7A-4E2E-BCCF-DD92253BEF1D	55630851159	EMPRESA COMERCIAL 9192 SAC	EMPRESA COMERCIAL 9192	2	1
301	FF5DA1D8-089A-4FEE-8FE4-567AFCC4D235	45974156456	Naciones Unidas Unidas SAc	Naciones Unidas Unidas	2	1
300	0C023F50-6809-488D-B71F-BE638FEE5268	46121947554	CORPORACION COMERCIAL 6787 SRL	CORPORACION COMERCIAL 6787	2	1
299	DE4D4C0A-04CB-48A2-8CD2-0330C21123FA	32511665695	CORPORACION COMERCIAL 3379 EIRL	CORPORACION COMERCIAL 3379	2	1
298	E4F66D62-6B72-4E35-9850-D401DAEB5298	48771477948	CORPORACION COMERCIAL 2111 SAC	CORPORACION COMERCIAL 2111	2	1
297	E1170439-7DD3-46C4-8C37-2C3E8FAF4EA4	08726767603	UNIVERSIDAD COMERCIAL 9466 SRL	UNIVERSIDAD COMERCIAL 9466	2	1
296	9C88AD66-E680-40F6-B710-65B415FAD55C	08510066127	CONSORCIO COMERCIAL 5230 EIRL	CONSORCIO COMERCIAL 5230	2	1
295	97039C12-EAC9-449C-B2E1-A51D9E3E2705	55404619907	CONSORCIO COMERCIAL 2358 SRL	CONSORCIO COMERCIAL 2358	2	1
294	79913F75-6394-45F6-AE8D-A00FA8FFA8E5	10224127436	INDUSTRIA COMERCIAL 5335 SRL	INDUSTRIA COMERCIAL 5335	2	1
293	0E48C3C6-8F01-41E5-85E7-C7A08D6BEA95	85982993688	CORPORACION COMERCIAL 2946 EIRL	CORPORACION COMERCIAL 2946	2	1
292	810DBAAD-ADC8-4BA3-9D5F-CBA31AF886B1	65536097148	EMPRESA COMERCIAL 9993 SAC	EMPRESA COMERCIAL 9993	2	1
291	F63E91F1-CBEF-4FB1-A5AC-F79F81B2F5F5	24473368018	CONSORCIO COMERCIAL 5222 SAA	CONSORCIO COMERCIAL 5222	2	1
290	6AFA276B-12FC-4EF4-9A22-85A2CFE9B7B4	18602191665	CONSORCIO COMERCIAL 3285 SRL	CONSORCIO COMERCIAL 3285	2	1
289	44549356-B476-468C-8709-6E11FF9F73CF	20172557738	BAZAR OTI5 SAC	BAZAR OTI5 DE REGALOS	4	1
288	6FD1D856-15C7-4037-AC00-EDB251D7FD14	88285752801	CORPORACION COMERCIAL 5309 SAA	CORPORACION COMERCIAL 5309	2	1
287	8A100B01-2036-40CC-8F80-6C166D78D5A1	56007261927	CORPORACION COMERCIAL 5452 SRL	CORPORACION COMERCIAL 5452	2	1
286	4D1E5E6E-961E-4468-80FF-362D93CF399B	49272791725	INDUSTRIA COMERCIAL 1497 SAC	INDUSTRIA COMERCIAL 1497	2	1
285	44985FAC-3E64-40D7-8898-7895465E509D	13685517570	UNIVERSIDAD COMERCIAL 6173 SAA	UNIVERSIDAD COMERCIAL 6173	2	1
284	7C04BB2E-21CA-48AC-A9A0-FD1BFAB55F5F	77337425710	INDUSTRIA COMERCIAL 5452 SAA	INDUSTRIA COMERCIAL 5452	2	1
283	EDF5723C-795F-49D0-A4DF-FABD13099C86	20172557628	Universidad Nacional de Trujillo	UNT	2	0
282	614F3BE9-62FB-42CC-BF19-122DEC75CB9B	12345678902	BAZAR OTI6-LOREM IPSUM IS SIMPLY DUMMY TEXT OF THE PRINTING AND TYPESETTING INDUSTRY. LOREM IPSUM HA	BAZAR OTI6 COMERCIAL-LOREM IPSUM IS SIMPLY DUMMY TEXT OF THE PRINTING AND TYPESETTING INDUSTRY. LORE	3	0
281	82E5547B-3F8E-4ECA-BF4D-F97A4CDCDCE0	12345678901	Bazar OTI5	Bazar OTI5	2	0
280	08139B27-04CC-463B-8040-842A9C42D88B	20145810248	EMPRESA COMERCIAL 2622 EIRL	EMPRESA COMERCIAL 2622	2	0
279	3A293373-0630-4265-8E17-C7BC680B129D	52564485595	EMPRESA COMERCIAL 4131 SRL	EMPRESA COMERCIAL 4131	2	1
278	2F017AE6-80F1-43C4-8408-AAF8C9C0D295	13123131131	PROBANDO 45546	PROBANDO 45546	2	1
277	000C323F-6772-4A35-B2D4-709003E87BF6	11111111111	PROBANDO 4554	PROBANDO 22	4	1
276	8E73153D-5F46-40C4-9949-0485A1D61D93	40404040405	Exportaciones 3 prueba	Exportaciones 3 prueba	4	1
275	90DAE662-ACFF-4A69-B798-E25FA0B1AB99	40404040406	EXPORTACIONES 2 PRUEBA	EXPORTACIONES 2 PRUEBA	2	1
274	CDD3F921-E985-47B2-9AD3-3EB3BA04E306	40404040407	Exportaciones 1 prueba	Exportaciones 1 prueba	2	1
273	DA3C03A9-1FEC-4ED5-8D67-751EB87135B0	12365478944	EMPRESA DE TECNOLOGÍAS RENOVABLES SAC	EMPRESA DE TECNOLOGÍAS RENOVABLES SAC	3	1
272	A0AE4DB4-77F4-4BEE-BDB0-3EBB3CD2FF3E	40404040408	Celebraciones Fiestas Navideñas sac	Universidad del Verano sac	3	1
271	8042BBA6-E762-4843-9994-9A10F0D46549	40404040409	Exportaciones del Sur S.A. PRUEBAS	Exportaciones del Sur S.A.	2	1
270	6641BF3B-EB1B-4E60-838A-29F67B8815A3	26680847922	EMPRESA COMERCIAL 11	EMPRESA COMERCIAL 11	4	1
269	8600A284-D0E3-4D5B-9577-720CA3FA4ADF	08580132762	Empresa comercial 1	Empresa comercial 1	2	0
268	519D4E53-4D90-4155-A10D-61F1C910FA1E	79819732262	Empresa comercial 1	Empresa comercial 1	2	0
267	37B54FDC-7879-484F-BBD2-22396006485C	24033318221	EMPRESA DE COMERCIO DE COMBUSTIBLES SAC	EMPRESA DE COMERCIO DE COMBUSTIBLES SAC	2	1
266	5A15EE0C-1541-4F5C-8A32-856601D796D1	88609738437	Empresa comercial 1	Empresa comercial 1	2	0
265	05F4A070-1D4D-48FA-AB94-8E2491FF5206	91033876793	Empresa comercial 1	Empresa comercial 1	2	0
264	96B29375-7150-4185-83C8-C6026FC26A7A	61525282884	Empresa comercial 1	Empresa comercial 1	2	0
263	55353E6C-5FF4-44B2-A5A6-B8C25155F0A4	48538960928	Empresa comercial 1	Empresa comercial 1	2	0
262	7C85BA4A-D15B-4FE9-B267-A0B2897206E9	74673428143	Empresa comercial 1	Empresa comercial 1	2	1
261	CD02C8E0-2D87-420E-8F95-BCF6B41305A4	20131368152	MUNICIPALIDAD DE CHORRILLOS	MUNICIPALIDAD DE CHORRILLOS	2	1
259	FB784B12-097B-48AB-B302-977857C82409	20202380621	MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A. 	MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A. 	2	1
252	BA74518B-E930-448E-AC37-94D8936750ED	20552588569	MACROPOST LOGISTICS S.A.C.	MACROPOST LOGISTICS S.A.C.	2	1
249	7D6C3EB2-7E6A-45E5-86A6-22919329C389	20550840252	EXPERTIC E.I.R.L.	EXPERTIC E.I.R.L.	2	1
244	06BE6E30-0FE4-4170-A905-AE89E7DA6CAA	20517572544	SPEED APOYO EMPRESARIAL S.A.C.	SPEED APOYO EMPRESARIAL S.A.C.	2	1
241	D9445E8B-69A5-411E-AC86-034616A49CEE	20549638318	X LOS ESTUDIANTES	X LOS ESTUDIANTES	2	1
235	C8171460-BE91-4D90-8506-8ABB01756B30	20522737063	A-SERVICES E.I.R.L.	A-SERVICES E.I.R.L.	2	1
230	2D6D08A7-EC24-4174-B5BC-F3CE7AF08F9F	20547416261	BEST ENGINEERING SOLUTIONS S.A.C.	BEST ENGINEERING SOLUTIONS S.A.C.	2	1
229	F8EAD62F-23C9-4855-A256-8C7718BDB31B	20100210909	LA POSITIVA SEGUROS Y REASEGUROS 	LA POSITIVA SEGUROS Y REASEGUROS 	2	1
228	1F4B3566-CA75-46A4-AB65-D6F77AAD8033	20517162052	EMAUS MADRE TERESA DE CALCUTA	EMAUS MADRE TERESA DE CALCUTA	2	1
226	92D92ABA-905E-4A9A-8F1E-8EC5018233DA	 2053409300	EMPRESA CONSTRUCTORA MECEC S.R.L. 	EMPRESA CONSTRUCTORA MECEC S.R.L. 	2	1
223	49223DE7-49CE-46BB-AAAF-B20DFF600B7E	20549905375	LEOS GENERAL BUSSINES S.A.C.	LEOS GENERAL BUSSINES S.A.C.	2	1
219	BA5C96C7-194C-43E2-BC31-3054B83DE32E	20552272332	NEWMAN CONSULTING GROUP E.I.R.L.	NEWMAN CONSULTING GROUP E.I.R.L.	2	1
215	D63E5E55-7005-44A8-A9F1-FC7B14069DA9	20347375412	 MULTISERVICE ANGEL OHMAR TOURS CARGO S.A. - MAOTCSA  	 MULTISERVICE ANGEL OHMAR TOURS CARGO S.A. - MAOTCSA  	2	1
211	2B04E84B-761F-417E-9805-F0FD5D957236	20502454545	SERVICIOS LOGISTICOS DE COURIER DEL PERU S.A.C.	SERVICIOS LOGISTICOS DE COURIER DEL PERU S.A.C.	2	1
210	F4FA07D8-2802-4603-8276-0F7BF870973D	20507891366	temputronic sac	temputronic sac	2	1
209	EE9002D6-D855-453B-97A6-BB90ED6EBF4B	20502267354	PUNTO PUBLICITARIO MARKETING & PUBLICIDAD S.A.C.	PUNTO PUBLICITARIO MARKETING & PUBLICIDAD S.A.C.	2	1
206	E1B11157-D28D-4D60-A012-2C99F8931B14	20514038601	CORPORACION PRIVADA DE SEGURIDAD LOS HALCONES S.A.C-CORPRISEG LOS HALCONES S.A.C	CORPORACION PRIVADA DE SEGURIDAD LOS HALCONES S.A.C-CORPRISEG LOS HALCONES S.A.C	2	1
150	FB2CAF4E-40D2-4823-9763-50FF7206E4D8	00000000001	ESCUELA SUPERIOR AUTÒNOMA DE BELLAS ARTES "DIEGO QUISPE TITO" DEL CUSCO	ESCUELA SUPERIOR AUTÒNOMA DE BELLAS ARTES "DIEGO QUISPE TITO" DEL CUSCO	2	1
148	A25216D0-5135-486D-BDF7-FCB71FD0FEAF	00000000000	ESCUELA DE OFICIALES DE LA POLICIA NACIONAL DEL PERÚ	ESCUELA DE OFICIALES DE LA POLICIA NACIONAL DEL PERÚ	2	1
147	AE24B398-A8D1-434F-8A0B-08EC5D87477D	00000000002	ESCUELA DE SUBOFICIALES DE LA POLICIA NACIONAL DEL PERÚ	ESCUELA DE OFICIALES DE LA POLICIA NACIONAL DEL PERÚ	2	1
125	72738B1D-DFC7-4569-8234-B2A516D77390	20487949125	POLITECNICA AMAZONICA SAC	POLITECNICA AMAZONICA SAC	2	1
91	34CEC3AD-D345-47F8-AD82-948E5CBE92FC	20521449731	UNIVERSIDAD AUTONOMA DEL PERU	UNIVERSIDAD AUTÓNOMA DEL PERÚ	2	1
88	4CB73902-6088-4715-BA09-ED762112E630	20518018818	UNIVERSIDAD PERUANA DE INTEGRACION GLOBAL	UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL	2	1
75	7DA153CE-5D64-4DEC-995C-F44FBD59F76A	20507790179	UNIVERSIDAD ANTONIO RUIZ DE MONTOYA	UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA	2	1
68	F6EBABD8-80CB-423D-9D1D-379B99FA5A6F	20479748102	UNIVERSIDAD SEÑOR DE SIPAN	UNIVERSIDAD SEÑOR DE SIPÁN 	2	1
57	D0A45121-93C7-4F8D-931A-757BDA8214E6	20303063766	UNIVERSIDAD ALAS PERUANAS	UNIVERSIDAD ALAS PERUANAS	2	1
52	D3620B92-5184-467E-8CD0-A331CABCFF67	20164113532	UNIVERSIDAD CESAR VALLEJO	UNIVERSIDAD PRIVADA CÉSAR VALLEJO	2	1
47	1AC4C477-9D82-4A38-B5EB-927482807674	20120710436	UNIVERSIDAD DE HUANUCO	UNIVERSIDAD DE HUÁNUCO	2	1
39	5D9FAE1C-12C7-48B5-9ACB-4DCB96EB472D	20177395227	UNIVERSIDAD ANDINA DEL CUSCO	UNIVERSIDAD ANDINA DEL CUSCO	2	1
26	4F77B67D-30EE-4A11-BD77-975F80BFF91D	20154605046	UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION	UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN	2	1
24	9EA5B894-CB26-4D8C-8E7B-2F3F3245B254	20108383471	UNIVERSIDAD INCA GARCILASO DE LA VEGA	UNIVERSIDAD INCA GARCILASO DE LA VEGA	2	1
21	68E834A8-FDF9-4453-A0A6-91CE5FF94589	20170934289	UNIVERSIDAD NACIONAL FEDERICO VILLARREAL	UNIVERSIDAD NACIONAL FEDERICO VILLARREAL	2	1
19	D3218824-4333-4936-933F-1A8B97352D96	20138149022	UNIVERSIDAD DE SAN MARTIN DE PORRES	UNIVERSIDAD DE SAN MARTÍN DE PORRES	2	1
